program starts ... 
io initialization starts ... 
writing initial data to files ...
calculating golden model ... 
calculating using sim model ... 
result comparison ...
diff_out_fm[2][31][8] = -16480 60.98 1005011.4
diff_out_fm[2][31][9] = -16474.863 61 1005027.6
diff_out_fm[2][31][10] = -16469.727 61.02 1005043.8
diff_out_fm[2][31][11] = -16464.596 61.040001 1005060
diff_out_fm[2][31][12] = -16459.469 61.060001 1005076.2
diff_out_fm[2][31][13] = -16454.346 61.080002 1005092.5
diff_out_fm[2][31][14] = -16449.223 61.099998 1005108.6
diff_out_fm[2][31][15] = -16444.107 61.119999 1005124.9
diff_out_fm[2][31][16] = -16438.992 61.139999 1005141.1
diff_out_fm[2][31][17] = -16433.881 61.16 1005157.4
diff_out_fm[2][31][18] = -16428.773 61.18 1005173.5
diff_out_fm[2][31][19] = -16423.67 61.200001 1005189.8
diff_out_fm[2][31][20] = -16418.568 61.220001 1005206
diff_out_fm[2][31][21] = -16413.471 61.240002 1005222.2
diff_out_fm[2][31][22] = -16408.377 61.259998 1005238.4
diff_out_fm[2][31][23] = -16403.285 61.279999 1005254.6
diff_out_fm[2][31][24] = -16398.199 61.299999 1005270.9
diff_out_fm[2][31][25] = -16393.113 61.32 1005287
diff_out_fm[2][31][26] = -16388.033 61.34 1005303.2
diff_out_fm[2][31][27] = -16382.955 61.360001 1005319.5
diff_out_fm[2][31][28] = -16377.88 61.380001 1005335.7
diff_out_fm[2][31][29] = -16372.812 61.400002 1005352
diff_out_fm[2][31][30] = -10908.179 61.419998 670041.75
diff_out_fm[2][31][31] = -5450.2432 61.439999 334924.38
diff_out_fm[3][0][30] = -42817.258 62.060001 2657301
diff_out_fm[3][0][31] = -21396.688 62.080002 1328368.5
diff_out_fm[3][1][30] = -42402.414 62.700001 2658694.2
diff_out_fm[3][1][31] = -21189.447 62.720001 1329064.9
diff_out_fm[3][2][30] = -41995.957 63.34 2660087.2
diff_out_fm[3][2][31] = -20986.396 63.360001 1329761.5
diff_out_fm[3][3][30] = -41597.633 63.98 2661480.5
diff_out_fm[3][3][31] = -20787.402 64 1330457.8
diff_out_fm[3][4][30] = -41207.195 64.620003 2662873.5
diff_out_fm[3][4][31] = -20592.352 64.639999 1331154.2
diff_out_fm[3][5][30] = -40824.418 65.260002 2664266.8
diff_out_fm[3][5][31] = -20401.125 65.279999 1331850.6
diff_out_fm[3][6][30] = -40449.074 65.900002 2665660
diff_out_fm[3][6][31] = -20213.609 65.919998 1332547
diff_out_fm[3][7][30] = -40080.949 66.540001 2667053
diff_out_fm[3][7][31] = -20029.703 66.559998 1333243.5
diff_out_fm[3][8][30] = -39719.844 67.18 2668446.2
diff_out_fm[3][8][31] = -19849.295 67.199997 1333939.8
diff_out_fm[3][9][30] = -39365.551 67.82 2669839.5
diff_out_fm[3][9][31] = -19672.297 67.839996 1334636.4
diff_out_fm[3][10][30] = -39017.879 68.459999 2671232.5
diff_out_fm[3][10][31] = -19498.602 68.480003 1335332.8
diff_out_fm[3][11][30] = -38676.652 69.099998 2672625.8
diff_out_fm[3][11][31] = -19328.127 69.120003 1336029.2
diff_out_fm[3][12][30] = -38341.68 69.739998 2674018.5
diff_out_fm[3][12][31] = -19160.775 69.760002 1336725.5
diff_out_fm[3][13][30] = -38012.809 70.379997 2675411.8
diff_out_fm[3][13][31] = -18996.471 70.400002 1337421.9
diff_out_fm[3][14][30] = -37689.867 71.019997 2676805.2
diff_out_fm[3][14][31] = -18835.127 71.040001 1338118.5
diff_out_fm[3][15][30] = -37372.68 71.660004 2678198
diff_out_fm[3][15][31] = -18676.664 71.68 1338814.9
diff_out_fm[3][16][30] = -37061.121 72.300003 2679591.5
diff_out_fm[3][16][31] = -18521.002 72.32 1339511.2
diff_out_fm[3][17][30] = -36755.023 72.940002 2680984.5
diff_out_fm[3][17][31] = -18368.074 72.959999 1340207.6
diff_out_fm[3][18][30] = -36454.258 73.580002 2682377.8
diff_out_fm[3][18][31] = -18217.807 73.599998 1340904.1
diff_out_fm[3][19][30] = -36158.672 74.220001 2683771
diff_out_fm[3][19][31] = -18070.127 74.239998 1341600.5
diff_out_fm[3][20][30] = -35868.148 74.860001 2685164.2
diff_out_fm[3][20][31] = -17924.975 74.879997 1342296.9
diff_out_fm[3][21][30] = -35582.535 75.5 2686557
diff_out_fm[3][21][31] = -17782.283 75.519997 1342993.5
diff_out_fm[3][22][30] = -35301.734 76.139999 2687950.2
diff_out_fm[3][22][31] = -17641.986 76.160004 1343689.9
diff_out_fm[3][23][30] = -35025.621 76.779999 2689343.8
diff_out_fm[3][23][31] = -17504.029 76.800003 1344386.2
diff_out_fm[3][24][30] = -34754.055 77.419998 2690736.5
diff_out_fm[3][24][31] = -17368.352 77.440002 1345082.6
diff_out_fm[3][25][30] = -34486.961 78.059998 2692130
diff_out_fm[3][25][31] = -17234.898 78.080002 1345779
diff_out_fm[3][26][30] = -34224.199 78.699997 2693523
diff_out_fm[3][26][31] = -17103.617 78.720001 1346475.5
diff_out_fm[3][27][30] = -33965.68 79.339996 2694916
diff_out_fm[3][27][31] = -16974.453 79.360001 1347172
diff_out_fm[3][28][30] = -33711.297 79.980003 2696309.5
diff_out_fm[3][28][31] = -16847.355 80 1347868.4
diff_out_fm[3][29][30] = -33460.949 80.620003 2697702.2
diff_out_fm[3][29][31] = -16722.273 80.639999 1348564.8
diff_out_fm[3][30][0] = -33422.316 80.660004 2695925
diff_out_fm[3][30][1] = -33414.57 80.68 2695968.2
diff_out_fm[3][30][2] = -33406.832 80.699997 2696012
diff_out_fm[3][30][3] = -33399.09 80.720001 2696055.2
diff_out_fm[3][30][4] = -33391.359 80.739998 2696099
diff_out_fm[3][30][5] = -33383.629 80.760002 2696142.8
diff_out_fm[3][30][6] = -33375.902 80.779999 2696186
diff_out_fm[3][30][7] = -33368.176 80.800003 2696229.5
diff_out_fm[3][30][8] = -33360.457 80.82 2696273
diff_out_fm[3][30][9] = -33352.746 80.839996 2696316.5
diff_out_fm[3][30][10] = -33345.031 80.860001 2696360
